Constituent ID,Constituent Name,Fund,Gift Date,Gift Amount,Payment Method,Gift Type,Fund Description,Appeal,Campaign,Acknowledgement Date,Receipt Amount,Receipt Date
BW-10001,Year Up United,Brightwater Foundation General,03/15/2021,$25000.00,Wire Transfer,Grant,Brightwater Foundation,Annual Appeal 2021,Workforce 2021,03/20/2021,25000.00,03/20/2021
BW-10002,Year Up United,Brightwater Foundation General,09/10/2021,18000.00,Check,Grant,Brightwater Foundation,Fall Appeal 2021,Workforce 2021,09/15/2021,18000.00,09/15/2021
BW-10003,Year Up United,Brightwater Foundation General,2022-03-01,22000.00,Wire Transfer,Grant,Brightwater Foundation,Spring Appeal 2022,Workforce 2022,2022-03-07,22000.00,2022-03-07
BW-10004,Year Up United,Brightwater Foundation General,08/22/2022,$20000.00,Wire Transfer,Grant,Brightwater Foundation,Fall Appeal 2022,Workforce 2022,08/28/2022,20000.00,08/28/2022
BW-10005,Year Up United,Brightwater Foundation General,03/18/2023,25000.00,Wire Transfer,Grant,Brightwater Foundation,Spring Appeal 2023,Workforce 2023,,25000.00,03/25/2023
BW-10006,College Track,Brightwater Foundation General,04/05/2021,15000.00,Check,Grant,Brightwater Foundation,Annual Appeal 2021,Education 2021,04/12/2021,15000.00,04/12/2021
BW-10007,College Track,Brightwater Foundation General,10/14/2021,12000.00,Check,Grant,Brightwater Foundation,Fall Appeal 2021,Education 2021,,12000.00,10/22/2021
BW-10008,College Track,Brightwater Foundation General,2022-05-20,$18000.00,Wire Transfer,Grant,Brightwater Foundation,Spring Appeal 2022,Education 2022,2022-05-27,18000.00,2022-05-27
BW-10009,College Track,Brightwater Foundation General,11/08/2022,15000.00,Wire Transfer,Grant,Brightwater Foundation,Fall Appeal 2022,Education 2022,11/14/2022,15000.00,11/14/2022
BW-10010,College Track,Brightwater Foundation General,04/02/2023,20000.00,Wire Transfer,Grant,Brightwater Foundation,Spring Appeal 2023,Education 2023,04/08/2023,20000.00,04/08/2023
BW-10011,Per Scholas,Brightwater Foundation General,05/17/2021,10000.00,Wire Transfer,Grant,Brightwater Foundation,Annual Appeal 2021,Workforce 2021,05/22/2021,10000.00,05/22/2021
BW-10012,Per Scholas,Brightwater Foundation General,2021-11-30,8000.00,Check,Grant,Brightwater Foundation,Fall Appeal 2021,Workforce 2021,2021-12-05,8000.00,2021-12-05
BW-10013,Per Scholas,Brightwater Foundation General,06/10/2022,12000.00,Wire Transfer,Grant,Brightwater Foundation,Spring Appeal 2022,Workforce 2022,06/16/2022,12000.00,06/16/2022
BW-10014,Per Scholas,Brightwater Foundation General,12/01/2022,$15000.00,Wire Transfer,Grant,Brightwater Foundation,Year-End 2022,Workforce 2022,12/07/2022,15000.00,12/07/2022
BW-10015,Per Scholas,Brightwater Foundation General,05/20/2023,15000.00,Wire Transfer,Grant,Brightwater Foundation,Spring Appeal 2023,Workforce 2023,05/25/2023,15000.00,05/25/2023
BW-10016,Bottom Line,Brightwater Foundation General,06/28/2021,8000.00,Check,Grant,Brightwater Foundation,Annual Appeal 2021,Education 2021,07/05/2021,8000.00,07/05/2021
BW-10017,Bottom Line,Brightwater Foundation General,2022-01-15,10000.00,Wire Transfer,Grant,Brightwater Foundation,New Year Appeal 2022,Education 2022,2022-01-20,10000.00,2022-01-20
BW-10018,Bottom Line,Brightwater Foundation General,07/14/2022,$10000.00,Wire Transfer,Grant,Brightwater Foundation,Mid-Year 2022,Education 2022,07/20/2022,10000.00,07/20/2022
BW-10019,Bottom Line,Brightwater Foundation General,01/22/2023,12000.00,Check,Grant,Brightwater Foundation,New Year Appeal 2023,Education 2023,01/28/2023,12000.00,01/28/2023
BW-20001,Margaret Chen,Brightwater Unrestricted,02/14/2022,5000.00,Credit Card,Individual Gift,Brightwater Foundation,Valentine's Day Appeal,Individual 2022,02/16/2022,5000.00,02/16/2022
BW-20002,James Whitfield,Brightwater Unrestricted,2022-03-22,2500.00,Check,Individual Gift,Brightwater Foundation,Spring Appeal 2022,Individual 2022,2022-03-28,2500.00,2022-03-28
BW-20003,Sarah Okonkwo,Brightwater Workforce Fund,04/30/2022,$10000.00,Wire Transfer,Major Gift,Brightwater Foundation,Major Donors 2022,Individual 2022,,10000.00,05/05/2022
